start	end	text
5431	31185	Pam Bondi said it's on her desk Right next to truth and civil unrest One day, it's there, the next Group finished like ethics in a voting booth Promises made from the podium high Now they gaslight with a straight-up lie Said we'll drain the swamp, yeah, sure you did Just made a list and buried it with the kids, the list That doesn't exist, kids burn While they shake their fists, the list
31165	44989	That never saw light Buried deep in a billionaire's flight They shrink, bake, use, and twist the plot But the names on the list sure remember a lot It's the list, shh, the list, shh The list that doesn't exist
45998	50806	Reporter as they start to sweat, to the yelling and the press reset.
51006	53430	That's fake, that's false, that's Soros trash.
53451	56035	How justice drowns in private jets and cash.
56055	60823	Their fingers all smell like kerosene, while they gas up the memory machine.
60843	65791	Rewrite the script with a Sharpie pen, while Epstein's ghost just laughs again.
65811	71601	A list that doesn't exist got filed, with the other drifts the list.
71581	75927	That slipped through the cracks, now sits on a yacht with knives in bay!
75947	80554	Hoaxin' witch hunts, same old spin, while victims wait for truth to begin.
80674	82076	It's the list.
82096	82657	The list.
83358	85060	The list that doesn't exist!
86022	88205	Sir, do you know who's on the list?
88225	90789	I don't know, I've never seen a list.
90809	92511	There may be a list.
92531	93633	It might not be real.
93953	95616	What even is a list?
95636	96677	Is it even legal?
107373	118412	FLASH MOVE POP THE CROWD GOES NUMB ANOTHER SCANDAL HERE IT COMES BUT DON'T YOU DARE TRY TO INSIST THAT THERE'S ANYTHING REAL ON THAT DAMN LIST
122273	132530	The list that doesn't exist Stay sealed with the pervert's kiss The list that we'll never see Because the truth ain't made in D.C.
132550	142206	Oh, scream it loud, don't let them win They hid the list in all their sins It's the list, the list, the list that doesn't exist
