start	end	text
49778	79228	I said gay in a song, now I'm a criminal Try to teach some history, now I'm political They banned my books, burned my words Guess free speech is just for birds Tried to play a show in Tampa Bay But the venue vanished yesterday No dancing here, no drag, no fun Your freedom state just pulled a gun Can't play it in the panhandle No more too loud, too proud, too real, too ignore They locked the answer, boarded the doors
81284	104686	Filed, underworked, and dangerous trash Sing it loud before they smash Your busted boombox of free speech For rental rights or fascist fides One man's fear is another's life They ban what's brown, they ban what's queer They ban whatever they don't wanna hear or state Now say it, now shame your states This window, different plate, what's 18th Street?
104766	109570	You'll find out, quit, it's too late Don't say gay, don't say black
109550	111773	Don't say science, don't fight back.
111993	114136	Don't read books, don't grow weed.
114356	116619	Don't you dare teach kids to think or read.
119043	121145	BAM like facts in a school debate.
121386	123529	BAM like dart they use to celebrate.
123769	128275	BAM like hope behind a gaze.
128295	130818	So crank it loud, disturb the peace.
130838	133602	Make dissenters call the police.
133622	135825	We're banded for now, why too real?
135845	136406	What now?
136426	138949	Play it louder, this song is banded for now.
