start	end	text
2461	24688	They showed up normal, looking clean The kind of calm I hadn't seen Said just a place to crash one night Swear I'll be gone by morning light But he overslept and missed his call Said one more night, I've lost it all They'd been through hell, I gave him a shot But the crammings came and he just forgot I gave you my couch, gave you a break
24668	37581	Thought you'd stay clean for everyone's sake But you dropped that G when the house went still Now you're shaking hard and getting your fill I went to bed, you went to war Shaking our friendship to its very core
53997	74335	Lauren called, says she's still got hope Jorah's shadow's slipping down a slope It's a pile of moments you've let slide by While you chase sleep with a chemical high It'd come tomorrow if you'd just say when But you're locked in the arms of your oldest friend And he don't care if you wake again
76610	88594	I gave you my couch, gave you a break Thought you'd stay clean for everyone's sake But you dropped that G when the house went still Now you're shaking hard and getting your fill I went to bed and banged the floor
95763	100030	It wasn't smack, it wasn't blow, this shit creeps in quiet and steals the show.
100290	104757	Your eyes rolled back, your fists went tight, you were drowning dry in the pale porch light.
104838	109625	You said it's GBH, or maybe G, but you were gone before explaining to me.
109946	115054	I sat there holding your vacant shell, a front row seat in a private hell.
117380	119868	I gave you my couch, gave you a break.
119888	122014	Thought you'd stay clean for everyone's sake.
122034	124422	But you dropped that cheat when the house went stale.
124602	126829	Now you're shaking hard and getting your fill.
127150	129377	I went to bed and went to more.
129658	131203	Shaking off friendships.
