start	end	text
48935	53640	Vlasic motions, melting skies, billionaires in space while the planet it fries.
53901	58466	Healthcare's a raffle, rent's a scam, AI rides spoons while I eat cult spam.
58646	61048	Skull Pass 2, hit the like.
61068	63451	World's on fire, but hey, cool bike.
63471	65613	Wake stage, everything, nothing makes sense.
65894	68156	Relatives, may all the rich feel tense.
68176	70499	We're laughing through collapse, dancing, fury, detay.
70759	73322	Orders and illusion, chaos, blaze.
77791	79974	Cops in tanks, but potholes stay.
80215	82398	School scans, folks banned every day.
82618	85403	Stuck in Spamese, warped from Tweets.
85463	87145	Eomperypum chooses what we eat.
87466	89609	Deads, balloons, tamper, snap.
89809	92073	We're all just rats in a crypto trap.
92293	94416	Late stage, every beat we meme our fate.
94657	97060	Celebrate, call out, swift flip bait.
97080	99244	Truth is dead, long live spin.
99264	102769	Tell me who profits when we don't win.
119067	121992	This is it, the sequel nobody asked for.
122012	124335	Reboots, three calls, three months of foam.
124616	127400	Syphilization's final update.
128442	129764	Bug ridden and insecure.
130084	132348	Late stage, everything smile and grind.
132448	134851	Buy your own chains, their fun shit signed.
134871	136975	We're the joke, we're the fudge line too.
137255	139759	Welcome to the end, bought to you by you.
