start,end,text
0,10000," [BLANK_AUDIO]"
30000,40000," [BLANK_AUDIO]"
60000,62280," It's always odd and it fakes, then it wants to break."
62280,63840," We're done the best ten hours late."
63840,66280," Snap your fingers, oops, you're fluent."
66280,68560," Now your stuff look blue and we're with everyone."
68560,71040," Screw it twice, waffle to the cost of bad advice."
71040,75160," [BLANK_AUDIO]"
75160,76760," Take one line, crash the site."
76760,78320," Double deal through half the night."
78320,79960," Draw the tag off, snow return."
79960,81480," Now your wallet gets a burn."
81480,83040," Cut the wire you should have cut."
83040,84640," Full house smells like a rut."
84640,86040," You bleed blunts and nuke the vibe."
86040,87800," Now you owe beers to the hope tries."
87800,89960," Always are a fix, then it wants to break."
89960,91960," The sandals left, now you're all day."
91960,94000," Snap the scissors, light bulb joins."
94000,95640," Hope you like patching, made a poke hole."
95640,97520," Is it once, wreck it fast."
97520,99240," Good luck cleaning up your past."
99240,109240," [BLANK_AUDIO]"
109240,114200," >> Friend of mine over to me on one way."
114200,117080," He had a door to fall, but he had a three hour first boot."
117080,127080," [BLANK_AUDIO]"
